category	name	domain	source
education_primary_aided	CARITAS RESURRECTION SCHOOL (PRIMARY SECTION)	crs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHAN SUI KI (LA SALLE) PRIMARY SCHOOL	cskps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHIU SHEUNG SCHOOL, HONG KONG	csshk.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHEUNG SHA WAN CATHOLIC PRIMARY SCHOOL	cswcps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHUN TOK SCHOOL	cts.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG FAITH LOVE LUTHERAN SCHOOL	cwflls.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHAI WAN KOK CATHOLIC PRIMARY SCHOOL	cwk.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CENTRAL & WESTERN DISTRICT ST. ANTHONY'S SCHOOL	cwsa.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHOI WAN ST JOSEPH'S PRIMARY SCHOOL	cwsj.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	GENERAL CHAMBER OF COMMERCE & INDUSTRY OF THE TUNG KUN DISTRICT CHEONG WONG WAI PRIMARY SCHOOL	cwwps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	SOCIETY OF BOYS' CENTRES CHAK YAN CENTRE SCHOOL (PRIMARY SECTION)	cycschool.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE CHURCH OF CHRIST IN CHINA CHUEN YUEN FIRST PRIMARY SCHOOL	cyf.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHINESE Y.M.C.A. PRIMARY SCHOOL	cymcaps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHIU YANG PRIMARY SCHOOL OF HONG KONG	cyps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	CHIU YANG POR YEN PRIMARY SCHOOL	cypy.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	DR. CATHERINE F. WOO MEMORIAL SCHOOL	dcfwms.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	DIOCESAN PREPARATORY SCHOOL	dps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	WONG TAI SIN CATHOLIC PRIMARY SCHOOL	e-wong.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	TUNG WAH GROUP OF HOSPITALS HONG KONG & KOWLOON ELECTRICAL APPLIANCES MERCHANTS ASSOCIATION LTD. SCHOOL	eama.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	EBENEZER NEW HOPE SCHOOL (PRIMARY SECTION)	ebenezer-enhs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	EBENEZER SCHOOL (PRIMARY SECTION)	ebenezer.org.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	THE EDUCATION UNIVERSITY OF HONG KONG JOCKEY CLUB PRIMARY SCHOOL	edujcps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	EMMANUEL PRIMARY SCHOOL	emm.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	EMMANUEL PRIMARY SCHOOL, KOWLOON	eps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	FANLING ASSEMBLY OF GOD CHURCH PRIMARY SCHOOL	fagps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
education_primary_aided	FR. CUCCHIARA MEMORIAL SCHOOL	fcms.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv
